,STATE,STATUS,STATE SUMMARY,Source of Action,Name of Source,Type of Action,Order/declaration affects residential eviction/civil proceedings ,Hyperlink to Source (Not Included in State Summary Row),Date of Issue,Effective Date,Expiration Date ,Date Moratorium Began to Lift,Expired/Replaced,Prohibits law enforcement from executing new and past orders of eviction,"Status of non-emergency civil court proceedings 
",Remote hearings allowed in non-emergency civil cases ,"Applies to civil cases, which should include eviction cases ",Applies to eviction cases directly,Applies to commercial eviction directly,Applies to foreclosure or foreclosure eviction cases directly,"Exempts criminal activity, damage to property, emergency, nuisance or cases to protect public health from eviction freeze ",Only applies to certain eviction cases ,"If limited to certain eviction cases, the freeze only applies to these cases  
","Tolls, extends or stays court deadlines",Date to which deadlines are tolled,"Suspends all five stages of eviction (notice, filing, hearing, ruling, execution) ",1. Suspends Notice of Eviction to Tenant ,2. Suspends Filing of Eviction Claim,3. Suspends Hearings on Eviction ,"4. Stays Order, Judgment or Writ of Eviction ",5. Suspends enforcement of new order of eviction,Prohibits issuance of late fees to landlord ,Requires certification that property is not covered under CARES Act Moratorium,Order/Declaration discusses effect of housing on public health,Order/Declaration discusses economic consequences on housing,Model order,Brief Summary of What Order Does,Moratorium Extended Past Emergency Declaration,Free Utility Reconnection,No Utility Disconnection,No Reporting to Credit Bureau,Grace Period to Pay Rent,Length of Time for Grace Period,No Late Fees,"Length of Time for No Late Fees 
mm/dd/yyyy",Legal Counsel for Tenants,No Rent Raises,"Length of Time for No Rent Raises
mm/dd/yyyy",Foreclosure Moratorium,"Length of Time for Foreclosure Moratorium
mm/dd/yyyy",Housing Stabilization,Length of time for Housing Stabilization mm/dd/yyyy
,NEW JERSEY (NJ),,,Governor,Gov. Phil Murphy,,N,NJ_Governor_EONo.138_05062020,5/6/2020,5/6/2020,6/6/20 unless removed,N/A,N,N,N/A,,,,,,,,,,,,,,,,,,,,,,"Extends public health emergency in NJ to June 6th 2020, extending with it the eviction moratorium ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N,
,NEW JERSEY (NJ),,,Governor,Gov. Phil Murphy,Short Term Housing Support,N,NJ_Governor_AO2020-9_04242020,4/24/2020,4/25/2020,,,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Order provides that municipalities and counties may not impose restrictions on hotels, motels, guest houses, or private residences that prevent them from accepting any individual who has no permanent housing to which they may safely or lawfully return. Individuals who have no permanent housing to which they may safely or lawfully return and live at a hotel or motel on a continual basis are entitled to the protections against evictions provided in Executive Order No. 106.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
,NEW JERSEY (NJ),,,Governor,Gov. Phil Murphy,Short Term Housing Support,N/A,NJ_Governor_EONo.128_042420,4/24/2020,4/24/2020,60 days after end of public health emergency declared in EO No. 103,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Upon a tenant's written or electronic request, security deposit and any accrued interest can be applied to a rent payment due at any time up to 60 days after the end of the Public Health Emergency. Tenant is not obligated to make any further security deposit, unless landlord and tenant agree to extend the agreement. In that case, tenant must pay the new security deposit by six months after the end of the Public Health Emergency or on the date when the lease/contract is renewed, whichever is later. ",Yes (2 Months),N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,,N/A,"""Tenants will not be required to repay their security deposit they used on rent until the Public Health Emergency Order is lifted or six months after they renew their lease, whichever comes later."""
,NEW JERSEY (NJ),,,Governor,Gov. Phil Murphy,Tenancy Preservation,N,NJ_Governor_PressRelease_041620,4/16/2020,4/16/2020,end of emergency,,N,N,N/A,N/A,N/A,N,N,N,N/A,N/A,N/A,N/A,N/A,N,N,N,N,N,N,N,,N,Y,N,New Jersey Housing and Mortgage Finance Agency has suspended rent increases at eligible facilities until the governor's order declaring a state of emergency is withdrawn (and after this there must be 30 days notice).,Yes. (Eligible properties in the NJHMFA’s portfolio seeking rent increases of up to 1.4% may do so only after 30-day notice is provided to the agency and residents),N/A,N/A,N/A,N/A,N/A,N/A,,N,Y,"""until the end of the state of emergency""* *only for NJHMFA properties*",N,,N/A,
,NEW JERSEY (NJ),,,Governor,Gov. Phil Murphy,Utilities,N/A,NJ_Governor_EONo.126_041320,4/13/2020,4/13/2020,30 days after end of public health emergency declared in EO No. 103,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"No cable or internet service provider may disconnect for non-payment.  Providers must reconnect customers disconnected after March 16 upon the customer's request, including customers whose service was disconnected for non-payment that occurred prior to March 16. Providers may downgrade service and charge late fees only if they are acting pursuant to a policy approved by the Board of Public Utilities.",Yes (30 Days),N,Y,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,
,NEW JERSEY (NJ),,,Governor,Gov. Phil Murphy,Eviction Moratorium,Y,NJ_Governor_ExecutiveOrderNo.106_031920,3/19/2020,3/19/2020,"Two months after the date of the end of the Public Health Emergency or the State of Emergency, whichever ends later, unless this Order is first revoked or modified. ",,N,Y,N/A,N/A,N/A,Y,N,Y,N,N,N/A,N,N/A,N,N,N,N,Y,Y,N,N/A,Y,Y,N,Order halts removals of residents pursuant to evictions or foreclosure proceedings but does not halt initiation or continuation of eviction and foreclosure proceedings. ,"Yes (2 months) unless this
Order is first revoked or modified by the Governor""",N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,Y,"""2 months following the end of Public Health Crisis or State of Emergency, whichever ends later""",N,
,NEW JERSEY (NJ),,,Legislation,State Assembly,Tenancy Preservation,N,New Jersey_Legislation_A4182_07012020,7/1/20,,unknown since not passed yet,,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,,N,N,N,N,N,N,N,N,N,Y,N/A,"(A-4182) would require landlords to allow both commercial and residential tenants to pay their rent with a credit card during the COVID-19 State of Emergency. The bill stipulates that associated transaction fees would be the tenant’s responsibility and any payment disputed as fraudulent and charged back to the landlord would be considered non-payment of rent. If signed into law, the legislation would take effect immediately and expire one year after the end of both the COVID-19 state of emergency and public health emergency. The bill passed in the State Assembly on 7/1 and is headed to the State Senate. ",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N,,Y,One year following the end of the State of Emergency
,NEW JERSEY (NJ),,,Legislation,State Assembly,Utilities,N,New Jersey_Legislation_S2526/A4126_06192020,6/19/20,3/9/2020,unknown since not passed yet,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Governor Murphy signed A4126/S2526 into law, which permits local units and authorities to (1) waive interest and lien enforcement for delinquent water and sewer utility payments and (2) suspend utility disconnections during public health emergencies. Retroactive to March 9th. ",N,N,Local Discretion,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,NEW JERSEY (NJ),,,Legislation,,Eviction Moratorium,Y,NJ_Legislation_S2485_051420,5/14/2020,,unknown since not passed yet,,N/A,N,N/A,N/A,Y,Y,Y,N,N,Y,Non-payment,N,N/A,N/A,Y,Y,Y,Y,N,N,N/A,N,Y,N,"Bill would authorize municipalities to pass emergency ordinances prohibiting eviction for non-payment or habitual late payment of rent [§2.a]. The bill would give such ordinances retroactive effect to 03/09/2020 [§3] and allow them to remain in effect until the first day of the third month after the State of Emergency or Public Health Emergency ended [§2.d]. The ordinance, once in effect, would nullify eviction orders that had already been issued if the only cause for eviction was non-payment/late payment of rent during the period covered by the ordinance [§2.c]. ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Y,"""Upon the completion of processing of all applications for assistance submitted on or prior to the 90th day following the end of the state eviction moratorium"""
,NEW JERSEY (NJ),,,Legislation,,,Y,NJ_Legislation_S2340/A4034_050720,5/7/2020,,unknown since not passed yet,,N/A,N,N/A,N/A,Y,Y,N,N,Y,N,N/A,N,N/A,,N,Y,Y,Y,N,Y,N,N,N,N,"Bill would authorize the Governor to issue an executive order establishing a mortgage forebearance program for mortgagees impacted by COVID-19.  Landlords who receive mortgage forebearance would be required to provide rent forebearance for tenants. Independent of the mortgage forebearance program, the Governor would also have power to suspend initiation of eviction proceedings, prohibit late fees, and establishing a 90-day repayment window for rent arrears that begins during the second month after the end of the emergency. The bill would also independently prohibit credit reporting agencies from including adverse credit information resulting from an impact of COVID-19.",N/A,N,N,Y,Y,,Y,,N,N,,N,,,
,NEW JERSEY (NJ),,,Legislation,,Tenancy Preservation,N,NJ_Legislation_S2500/2332_041320,4/13/2020,6/1/2020,,,N/A,N,N/A,N/A,N/A,N,N,N,N/A,N/A,N/A,N,N/a,N,N,N,N,N,N,N,,N,N,Y,Establishes rental assistance program. Participants must be unable to pay due to COVID-19. Website provided by executive agency: https://www.nj.gov/dca/divisions/dhcr/offices/shorttermrap.html,,,,,,,,,,,,,,Y,
,NEW JERSEY (NJ),,,Legislation,,,N,NJ_Legislation_A3948_041320,4/13/2020,,unknown since not passed yet,,N/A,N,N/A,N/A,N/A,Y,N,Y,N/A,N/A,N/A,N,N/a,N,Y,N,N,N,N,N,,N,N,Y,"Property owner shall receive a 90-day mortgage forbearance upon request. Would prevent foreclosures or evictions from being initiated for 90 days after state of emergency ends. Rent must also be suspended for 90 days upon request of tenant, but tenant does not have to prove economic hardship. No late fee. For commercial tenants, 90 day rent suspension upon request without late fee. Forbearance shall also be granted on any other loan.",,,,,,,,,,,,,,,
,NEW JERSEY (NJ),,,Legislation,,Eviction Moratorium,Y,NJ_Legislation_A3859_031920,3/19/2020,3/19/2020,duration of public health emergency,,N,N,N/A,N/A,N/A,Y,N,Y,N,N,N/A,N/A,N/A,N,Y,N,N,N,In Effect Y,N,,N,N,N,Allows governor to issue a proclamation staying enforcement of eviction and declaring that tenants can't be removed by eviction,"Yes (2 months) "" unless this
Order is first revoked or modified by the Governor""",N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,Y,"""2 months following the end of Public Health Crisis or State of Emergency, whichever ends later""",N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NEW MEXICO (NM) CURRENT
SUMMARY",Nonpayment Eviction Cases Suspended,"The New Mexico Supreme Court has stayed the execution of writs of restitution for nonpayment of rent under NMSA 1978, Section 47-8-46 (A) if the resident has demonstrated by a preponderance of the evidence a current inability to pay rent. The New Mexico Supreme Court has also stayed the execution of writs of restitution for mobile homes. Landlords can still file for eviction, and courts can still hear eviction cases remotely or in person. Without additional measures, evictions enforcement will proceed when the court's order is lifted. New Mexico Public Regulation Commission ordered suspension of discontinutation residential customer utility service during public health emergency.",Court,,,Y,,,,Open,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,Y,N,Y,N,Y,Non-payment,N,N/A,N,N,N,N,COVID-19 Related,COVID-19 Related,N,N,Y,N,N,,N,N,Y,N,N,N/A,N,N/A,N,N,N/A,N,N/A,Y,N/A
,"NEW MEXICO (NM) PEAK COVERAGE
SUMMARY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW MEXICO (NM),,,Court,Supreme Court,,N,NM_SupremeCourt_20-8500-025_070620,7/6/2020,7/6/2020,,,N,N,Local Discretion,Y,Y,N,N,N,N,N,N/A,N,,N,N,N,N,Y,N,N,N,N,N,N,"This Order amends certain provisions of AO No. 20-8500. This Order specifically states that no courts shall order a temporary stay but exempts Order No. 20-8500-007, staying eviction proceedings.",N,N,N,N,N,,N,,N,N,,N,,N,
,NEW MEXICO (NM),,,Court,,,Y,NM_Supreme Court_OrderNo 20_8500_008_032620,3/26/20,3/26/20,Open,,N,Y,N/A,N/A,N/A,Y,N,Y,N,Y,Non-payment,N,N/A,N,N,N,N,Y,In Effect Y,N,N,N,N,N,Supreme Court Order that stays the execution of writs of restitution on a mobile home issued for non-payment of rent for residents who have demonstrated by a preponderance of the evidence a current inability to pay the monthly rent. ,N,N,N,N,N,,N,,N,N,,N,,N,
,NEW MEXICO (NM),,,Court,,,Y,NM_SupremeCourt_OrderNo.20_8500_007_032420,3/24/20,3/24/20,Open,,N,Y,N/A,N/A,N/A,Y,N,Y,N,Y,Non-payment,N,N/A,N,N,N,N,Y,In Effect Y,N,N,Y,N,N,Supreme Court Order that stays the execution of writs of restitution issued for non-payment of rent for residents who have demonstrated by a preponderance of the evidence a current inability to pay the monthly rent. ,N,N,N,N,N,,N,,N,N,,N,,N,
,NEW MEXICO (NM),,,Court,,,Y,NM_SupremeCourt_OrderNo 20_8500_006_032420,3/23/20,3/23/20,Open,,N,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,Amends 3/17 Supreme Court Order to further limit the number of people in the Court and to require remote proceedings to the fullest extent possible.,,,,,,,,,,,,,,,
,NEW MEXICO (NM),,,Court,,,Y,NM_SupemeCourt_OrderNo20_8500_002_0317,3/17/20,3/17/20,Open,,Partial,N,Local Discretion,Y,Y,N,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,Supreme Court Order that encourages judges to authorize remote proceedings and to limit the number of people in the Court. ,N,N,N,N,N,,N,,N,N,,N,,N,
,NEW MEXICO (NM),,,Court,,,Y,NM_AdminofCourt_PressRelease_031220,3/13/20,3/13/20,Open,,N/A,N,N/A,Y,Y,N,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,"Supreme Court Order that aims to limit contact among people in the courts, including recommending hearings be conducted by telephone and ideo. ",,,,,,,,,,,,,,,
,NEW MEXICO (NM),,,Utility Board,,,N,NM_UtilityRule_031820,3/18/20,3/18/20,Open,,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,The New Mexico Public Regulation Commission has issued an emergency rule prohibiting PRC-regulated utilities from disconnecting residential customers for nonpayment during the public health emergency caused by the spread of the coronavirus.,N/A,N,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Open
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW YORK (NY) CURRENT SUMMARY,COVID-19 Hardship Eviction Cases Suspended,"On 6/30, the Governor signed the Tenant Safe Harbor Act, which suspends evictions for tenants who can show they have suffered financial hardship during the COVID-19 emergency period (includes rental debt accrued during the eviction moratorium) until all COVID-19 restrictions on gatherings and non-essential businesses are lifted. The Governor's Executive Order prohibits initiation of and enforcement of eviction for non-payment if a tenant has experienced COVID-19 hardship, or is recieving unemployment benefits, for a period of 60 days beginning on June 20. The Governor's order also provides that landlords are prohibited from charging late fees from March 20, 2020, through August 20, 2020 and allows tenants to put their security deposits toward rent. The legislature has also enacted a measure that requires mortgage providers to offer mortgage forebearance for up to 180 days to mortgage holders, to refrain from charging late fees, and to not report late payments to credit reporting agencies. ",Court/Governor,,,Y,,,,08/20/20,,N,Y,Local Discretion,N,Y,Y,Y,Y,N,Y,Non-payment,Y,,N,COVID-19 Related,COVID-19 Related,Y,N,COVID-19 Related,N,N,N,N,Y,,,N,Y,Y,N,N/A,N,N/A,N,N,N/A,Y,08/20/20,Y ,N/A
,NEW YORK (NY) PEAK SUMMARY,Eviction Cases & Enforcement Suspended,"The Chief Administrative Judge of the State of New York Unified Court System's 3/15/20 memorandum states that  ""all eviction proceedings and pending eviction orders shall be suspended statewide until further notice."" The Chief Administrative Judge had initially issued a one-week moratorium in New York City on 3/13/20. There will be no evictions of any kind, for anyone, as long as the 3/15/20 moratorium is in place. In NYC, all city marshals have been notified that they cannot execute any pre-existing warrants. Outside of NYC, law enforcement entities should have been notified by the local courts. 

The Governor's 3/20/20 Executive Order declared an eviction and foreclosure morotorium for 90 days. On 5/7/20, the Governor issued an Executive Order that allows tenants to use their security deposit to pay past rent, prohibits late fees, prohibits eviction for nonpayment due to COVID-19 hardship for a period of 60 days beginning on June 20, and suspends sections of the Real Property Law to provide that no landlord, lessor, sub-lessor or grantor shall demand or be entitled to any payment, fee or charge for late payment of rent occurring during the time period from March 20, 2020, through August 20, 2020.  ",Court/Governor,,,Y,,,,8/20/20 (governor),,N,Y,Local Discretion,N,Y,Y,Y,Y,N,Y,Non-payment,Y,,Y,Y,Y,Y,Y,Y,N,,N,N,Y,,,,Y,,,,,,,,,,,,
,NEW YORK (NY),,,Court,NY Uniform Court System,,Y,NY_ChiefAdministrativeJudge_Notice_070820,7/8/20,7/8/20; 7/10/20,open,,N,N,N/A,Y,Y,Y,N,N,N/A,N,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N,N,"Courts in the Third and Ninth Judicial Districts are moving to Stage 4 of reopening 7/8, with the Tenth District following on 7/10. Stage 4 expands the categories of court proceedings that can be heard in-person. Specifies that eviction hearings in which both parties are represented by council will be heard remotely along with other matters deemed non-essential. Superior civil court proceedings where at least one party is self-represented will be heard in person. ",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,NEW YORK (NY),,,Court,NY Uniform Court System,Tenancy Preservation,Y,NY_ChiefAdministrativeJudge_070720,7/7/20,7/7/20,until further notice ,,N,N,N/A,Y,N/A,Y,N,Y,N,N,N/A,Y,8/5,N,N,N,Y,N,N,N,N/A,N/A,N/A,N,The pause on eviction hearings announced in earlier order (6/18) is still in effect (until 8/5). Landlords can now file evictions for non-payment against residential tenants without certifying that the tenant did not suffer hardship during the pandemic. ,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Until further notice,N/A,N/A
,NEW YORK (NY),,,Court,NY Uniform Court System,,Y,NY_ChiefAdminJudge_Memorandum_061820,6/18/20,6/20/20,open,,N,N,N/A,N/A,Y,Y,Y,N,N,N,N/A,N,N/A,N,COVID-19 Related,COVID-19 Related,Y,N,COVID-19 Related,N,N,N,N,N,"Filings for eviction cases will be accepted by mail or electronically as of June 20, 2020.  Any petitions must include a form affidavit that the petitioner has reviewed all applicable state and federal restrictions and qualifications on eviction and believes the proceeding is consistent with those restrictions.  Hearings are suspended until the Governor's suspension of statutory timetables for prosecution of legal matters expires.  However, cases filed before March 16, 2020 in which all parties have counsel may be calendared for virtual settlement conferences.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,NEW YORK (NY),,,Court,NY Uniform Court System,,Y,NY_ChiefAdminJudge_Memorandum_043020,4/30/20,5/4/20,open,,N,N,Local Discretion,Y,Y,N,N,N,N,N/A,N/A,N,N/a,N,N,N,N,N,N,N,N,N,N,N,"As courts resume hearing nonessential cases virtually, motion practice may resume and problem-solving courts may conduct virtual conferences. (Order does not apply to eviction.)",,,,,,,,,,,,,,,
,NEW YORK (NY),,,Court,NY Uniform Court System,,Local Discretion,NY_ChiefAdminJudge_COVIDOrders_Summary,4/7/20,4/7/20,open,,N,N/A,Local Discretion,Y,Y,N,N,N,N,N/A,N/A,N,N/a,N,N,N,N,N,N,N,N,N,N,N,"States that although filing new non-essential matters is still suspended, courts may start to hear remote conferences in certain nonessential cases beginning on 4/13.",,,,,,,,,,,,,,,
,NEW YORK (NY),,,Court,NY Uniform Court System,,Y,NY_ChiefAdminJudge_AO78_032220,3/22/20,3/22/20,Open,,N,N,N/A,N,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,Y,N,N,N,N,N,N,N,N,"This administrative order directs that non-essential filings will no longer be accepted. The following Civil/Housing matters are considered essential (i.e. filings are still accepted):
 1. applications addressing landlord lockouts (including reductions in essential services)
 2. applications addressing serious code violations
 3. applications addressing serious repair orders
 4. applications for post-eviction relief ",,,,,,,,,,,,,,,
,NEW YORK (NY),,,Court,NY Uniform Court System,,Y,NY_ChiefAdminJudge_AO71_031920,3/19/20,3/19/20,Open,,N,N,N/A,N,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,"This administrative order promulgates special protocols for Civil Litigation. The prosecution of pending civil matters in a manner that requires in-person appearances or travel, or otherwise requires actions inconsistent with prevailing health and safety directives relating to the coronavirus health emergency, is strongly discouraged. Where a party, attomey or other person is unable to meet discovery or other litigation schedules for reasons related to the coronavirus health emergency, the parties shall use best efforts to postpone proceedings by agreement and stipulation for a period not to exceed 90 days.",,,,,,,,,,,,,,,
,NEW YORK (NY),,,Court,NY Uniform Court System,,Y,NY_ChiefAdminJudge_Memo_031620,3/15/20,3/16/20,Open,,N,N,All Suspended,N,Y,Y,N,N,N,N,N/A,N,N/A,N,N,N,Y,Y,Y,N,N,N,N,N,"This memorandum updates operational protocols for the courts. Effective 3/16/20, all nonessential functions of the courts are postponed until further notice and all eviction proceedings and pending eviction orders are suspended statewide until further notice. For NYC Housing Court specifically, essential applications as the court may allow (e.g., landlord lockouts, serious housing code violations, and repair orders) will continue. ",,,,,,,,,,,,,,,
,NEW YORK (NY),,,Court,NY Uniform Court System,,Y,NY_ChiefAdminJudge_Memo_031320,3/13/20,3/16/20,Open,,Partial,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N,N/A,N,N/A,N,N,N,N,In Effect Y,Y,N,N,N,N,N,"This memorandum with procedures to reduce courthouse traffic postpones civil jury trials in which opening statements have not commenced, suspends civil trial assignment parts, and directs remote appearances. A one-week moratorium on evictions in New York City is imposed, and the New York City Housing Court was directed not to issue new eviction warrants where a party has not appeared in court. ",,,,,,,,,,,,,,,
,NEW YORK (NY),,,Governor,Andrew Cuomo,Tenancy Preservation,Y,NY_Governor_COVIDRentRelief_071420,7/14/20,7/16/20,Applications due 7/30,,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,"The COVID Rent Relief Program will provide eligible households with a one-time rental subsidy that will be sent directly to the household’s landlord. Before March 1, 2020 and at the time of application, household income must have been below 80% of the area median income, adjusted for household size, and the household must have been paying more than 30% of gross monthly income towards rent. Applicants must have lost income during the period of April 1, 2020 to July 31, 2020.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,
,NEW YORK (NY),,,Governor,Andrew Cuomo,Eviction Moratorium,Y,NY_Governor_EO202.48_070620,7/6/20,7/6/20,8/5/20,,N,N,N/A,N/A,Y,Y,Y,Y,N/A,N/A,N/A,Y,07/06/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,"Extends previous order tolling deadlines to prosecute legal matters to August 5, 2020. Suspends protections for residential tenants, but not commercial tenants, passed in EO 202.28. To evict residential tenants for nonpayment, landlords no longer need to file an affidavit certifying that the tenant has not suffered financial hardship and is not receiving unemployment. ",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
